contents	keywords
S. 's Dodd-Frank Wall Street Reform Act[4] and European Alternative Investment Fund Managers Directive.	other
"[192]
 In 2007, in an effort to engage in self-regulation, 14 leading hedge fund managers developed a voluntary set of international standards in best practice and known as the Hedge Fund Standards they were designed to create a ""framework of transparency, integrity and good governance"" in the hedge fund industry. [193] The Hedge Fund Standards Board was set up to prompt and maintain these standards going forward, and by 2016 it had approximately 200 hedge fund managers and institutional investors with a value of US$3tn investment endorsing the standards."	Hedge fund, Regulation
"[194] The Managed Funds Association is a US-based trade association, while the Alternative Investment Management Association is the primarily European counterpart. [195]
 Hedge funds within the US are subject to regulatory, reporting, and record-keeping requirements."	Hedge fund
[196] Many hedge funds also fall under the jurisdiction of the Commodity Futures Trading Commission, and are subject to rules and provisions of the 1922 Commodity Exchange Act, which prohibits fraud and manipulation. [197] The Securities Act of 1933 required companies to file a registration statement with the SEC to comply with its private placement rules before offering their securities to the public,[198] and most traditional hedge funds in the United States are offered effectively as private placement offerings.	Hedge fund
[199] The Securities Exchange Act of 1934 required a fund with more than 499 investors to register with the SEC. [200][201][202] The Investment Advisers Act of 1940 contained anti-fraud provisions that regulated hedge fund managers and advisers, created limits for the number and types of investors, and prohibited public offerings.	Hedge fund
The Act also exempted hedge funds from mandatory registration with the SEC[69][203][204] when selling to accredited investors with a minimum of US$5 million in investment assets. Companies and institutional investors with at least US$25 million in investment assets also qualified.	Hedge fund
"[205]
 In December 2004, the SEC began requiring hedge fund advisers, managing more than US$25 million and with more than 14 investors, to register with the SEC under the Investment Advisers Act. [206] The SEC stated that it was adopting a ""risk-based approach"" to monitoring hedge funds as part of its evolving regulatory regime for the burgeoning industry."	Hedge fund, Risk
[207] The new rule was controversial, with two Commissioners dissenting,[208] and was later challenged in court by a hedge fund manager. In June 2006, the U.	Hedge fund
S. Court of Appeals for the District of Columbia overturned the rule and sent it back to the agency to be reviewed.	other
"[209] In response to the court decision, in 2007 the SEC adopted Rule 206(4)-8, which unlike the earlier-challenged rule, ""does not impose additional filing, reporting or disclosure obligations"" but does potentially increase ""the risk of enforcement action"" for negligent or fraudulent activity. [210] Hedge fund managers with at least US$100 million in assets under management are required to file publicly quarterly reports disclosing ownership of registered equity securities and are subject to public disclosure if they own more than 5% of the class of any registered equity security."	Hedge fund, Risk
[201] Registered advisers must report their business practices and disciplinary history to the SEC and to their investors. They are required to have written compliance policies, a chief compliance officer, and their records and practices may be examined by the SEC.	History
"[196]
 The U. S."	other
's Dodd-Frank Wall Street Reform Act was passed in July 2010[4][93] and requires SEC registration of advisers who manage private funds with more than US$150 million in assets. [211][212] Registered managers must file Form ADV with the SEC, as well as information regarding their assets under management and trading positions.	other
[213] Previously, advisers with fewer than 15 clients were exempt, although many hedge fund advisers voluntarily registered with the SEC to satisfy institutional investors. [214] Under Dodd-Frank, investment advisers with less than US$100 million in assets under management became subject to state regulation.	Hedge fund, Regulation
[211] This increased the number of hedge funds under state supervision. [215] Overseas advisers who managed more than US$25 million were also required to register with the SEC.	Hedge fund
[216] The Act requires hedge funds to provide information about their trades and portfolios to regulators including the newly created Financial Stability Oversight Council. [215] In this regard, most hedge funds and other private funds, including private-equity funds, must file Form PF with the SEC, which is an extensive reporting form with substantial data on the funds' activities and positions.	Hedge fund
"[1] Under the ""Volcker Rule"", regulators are also required to implement regulations for banks, their affiliates, and holding companies to limit their relationships with hedge funds and to prohibit these organizations from proprietary trading, and to limit their investment in, and sponsorship of, hedge funds. [215][217][218]
 Within the European Union (EU), hedge funds are primarily regulated through their managers."	Hedge fund, Regulation
[69] In the United Kingdom, where 80% of Europe's hedge funds are based,[219] hedge fund managers are required to be authorised and regulated by the Financial Conduct Authority (FCA). [192] Each country has its own specific restrictions on hedge fund activities, including controls on use of derivatives in Portugal, and limits on leverage in France.	Hedge fund
"[69]
 In the EU, managers are subject to the EU's Directive on Alternative Investment Fund Managers (AIFMD). According to the EU, the aim of the directive is to provide greater monitoring and control of alternative investment funds."	other
[220] AIFMD requires all EU hedge fund managers to register with national regulatory authorities[221] and to disclose more information, on a more frequent basis. It also directs hedge fund managers to hold larger amounts of capital.	Hedge fund
"AIFMD also introduced a ""passport"" for hedge funds authorised in one EU country to operate throughout the EU. [93][192] The scope of AIFMD is broad and encompasses managers located within the EU as well as non-EU managers that market their funds to European investors."	Hedge fund
"[93] An aspect of AIFMD which challenges established practices in the hedge funds sector is the potential restriction of remuneration through bonus deferrals and clawback provisions. [222]
 Some hedge funds are established in offshore centres, such as the Cayman Islands, Dublin, Luxembourg, Singapore[223] the British Virgin Islands, and Bermuda, which have different regulations[224] concerning non-accredited investors, client confidentiality, and fund manager independence."	Hedge fund, Regulation
"[4][192]
 In South Africa, investment fund managers must be approved by, and register with, the Financial Services Board (FSB). [225]
 Performance statistics for individual hedge funds are difficult to obtain, as the funds have historically not been required to report their performance to a central repository, and restrictions against public offerings and advertisement have led many managers to refuse to provide performance information publicly."	Hedge fund, Performance
"However, summaries of individual hedge fund performance are occasionally available in industry journals[226][227] and databases. [228]
 One estimate is that the average hedge fund returned 11."	Hedge fund, Performance
4% per year,[229] representing a 6. 7% return above overall market performance before fees, based on performance data from 8,400 hedge funds.	Hedge fund, Performance
[69] Another estimate is that between January 2000 and December 2009 hedge funds outperformed other investments and were substantially less volatile, with stocks falling an average of 2. 62% per year over the decade and hedge funds rising an average of 6.	Hedge fund
54% per year; this was an unusually volatile period with both the 2001-2002 dot-com bubble and a recession beginning mid 2007. [230] However, more recent data show that hedge fund performance declined and underperformed the market from about 2009 to 2016.	Hedge fund, Performance
"[231]
 Hedge funds performance is measured by comparing their returns to an estimate of their risk. [232] Common measures are the Sharpe ratio,[233] Treynor measure and Jensen's alpha."	Hedge fund, Risk, Performance
"[234] These measures work best when returns follow normal distributions without autocorrelation, and these assumptions are often not met in practice. [235]
 New performance measures have been introduced that attempt to address some of theoretical concerns with traditional indicators, including: modified Sharpe ratios;[235][236] the Omega ratio introduced by Keating and Shadwick in 2002;[237] Alternative Investments Risk Adjusted Performance (AIRAP) published by Sharma in 2004;[238] and Kappa developed by Kaplan and Knowles in 2004."	Risk, Performance
"[239]
 There is a debate over whether alpha (the manager's skill element in performance) has been diluted by the expansion of the hedge fund industry. Two reasons are given."	Hedge fund, Performance
First, the increase in traded volume may have been reducing the market anomalies that are a source of hedge fund performance. Second, the remuneration model is attracting more managers, which may dilute the talent available in the industry.	Hedge fund, Performance
"[240][241]
 Indices play a central and unambiguous role in traditional asset markets, where they are widely accepted as representative of their underlying portfolios. Equity and debt index fund products provide investable access to most developed markets in these asset classes."	other
Hedge fund indices are more problematic. The typical hedge fund is not traded on exchange, will accept investments only at the discretion of the manager, and does not have an obligation to publish returns.	Hedge fund
Despite these challenges, Non-investable, Investable, and Clone indices have been developed. Non-investable indices are indicative in nature and aim to represent the performance of some database of hedge funds using some measure such as mean, median, or weighted mean from a hedge fund database.	Hedge fund, Performance
The databases have diverse selection criteria and methods of construction, and no single database captures all funds. This leads to significant differences in reported performance between different indices.	Performance
Although they aim to be representative, non-investable indices suffer from a lengthy and largely unavoidable list of biases. Funds' participation in a database is voluntary, leading to self-selection bias because those funds that choose to report may not be typical of funds as a whole.	other
For example, some do not report because of poor results or because they have already reached their target size and do not wish to raise further money. The short lifetimes of many hedge funds mean that there are many new entrants and many departures each year, which raises the problem of survivorship bias.	Hedge fund
If we examine only funds that have survived to the present, we will overestimate past returns because many of the worst-performing funds have not survived, and the observed association between fund youth and fund performance suggests that this bias may be substantial. When a fund is added to a database for the first time, all or part of its historical data is recorded ex-post in the database.	Performance
"It is likely that funds only publish their results when they are favorable, so that the average performances displayed by the funds during their incubation period are inflated. This is known as ""instant history bias"" or ""backfill bias""."	History, Performance
Investable indices are an attempt to reduce these problems by ensuring that the return of the index is available to shareholders. To create an investable index, the index provider selects funds and develops structured products or derivative instruments that deliver the performance of the index.	Structure, Performance
When investors buy these products the index provider makes the investments in the underlying funds, making an investable index similar in some ways to a fund of hedge funds portfolio. To make the index investable, hedge funds must agree to accept investments on the terms given by the constructor.	Hedge fund
To make the index liquid, these terms must include provisions for redemptions that some managers may consider too onerous to be acceptable. This means that investable indices do not represent the total universe of hedge funds.	Hedge fund
Most seriously, they under-represent more successful managers, who typically refuse to accept such investment protocols. The most recent addition to the field approaches the problem in a different manner.	other
Instead of reflecting the performance of actual hedge funds, they take a statistical approach to the analysis of historic hedge fund returns and use this to construct a model of how hedge fund returns respond to the movements of various investable financial assets. This model is then used to construct an investable portfolio of those assets.	Hedge fund, Performance
This makes the index investable, and in principle, they can be as representative as the hedge fund database from which they were constructed. However, these clone indices rely on a statistical modelling process.	Hedge fund
Such indices have too short a history to state whether this approach will be considered successful. In March 2017, HFR – a hedge fund research data and service provider – reported that there were more hedge-fund closures in 2016 than during the 2009 recession.	Hedge fund, History
According to the report, several large public pension funds pulled their investments in hedge funds, because the funds' subpar performance as a group did not merit the high fees they charged. Despite the hedge fund industry topping $3 trillion for the first time ever in 2016, the number of new hedge funds launched fell short of levels before the financial crisis of 2007–2008.	Hedge fund, Performance
"There were 729 hedge fund launches in 2016, fewer than the 784 opened in 2009, and dramatically fewer than the 968 launches in 2015. [242]
 Systemic risk refers to the risk of instability across the entire financial system, as opposed to within a single company."	Hedge fund, Risk
Such risk may arise following a destabilizing event or events affecting a group of financial institutions linked through investment activity. [243] Organizations such as the European Central Bank have charged that hedge funds pose systemic risks to the financial sector,[244][245] and following the failure of hedge fund Long-Term Capital Management (LTCM) in 1998 there was widespread concern about the potential for systemic risk if a hedge fund failure led to the failure of its counterparties.	Hedge fund, Risk
"(As it happens, no financial assistance was provided to LTCM by the US Federal Reserve, so there was no direct cost to US taxpayers,[246] but a large bailout had to be mounted by a number of financial institutions. )
 However, these claims are widely disputed by the financial industry,[247] who typically regard hedge funds as ""small enough to fail"", since most are relatively small in terms of the assets they manage and operate with low leverage, thereby limiting the potential harm to the economic system should one of them fail."	Hedge fund
[229][248] Formal analysis of hedge fund leverage before and during the financial crisis of 2007–2008 suggests that hedge fund leverage is both fairly modest and counter-cyclical to the market leverage of investment banks and the larger financial sector. [99] Hedge fund leverage decreased prior to the financial crisis, even while the leverage of other financial intermediaries continued to increase.	Hedge fund
"[99] Hedge funds fail regularly, and numerous hedge funds failed during the financial crisis. [249] In testimony to the US House Financial Services Committee in 2009, Ben Bernanke, the Federal Reserve Board Chairman said he ""would not think that any hedge fund or private-equity fund would become a systemically critical firm individually""."	Hedge fund
"[250]
 This does leave the possibility that hedge funds collectively might contribute to systemic risk if they exhibit herd or self-coordinating behavior,[251] perhaps because many hedge funds make losses in similar trades. This coupled with the extensive use of leverage could lead to forced liquidations in a crisis."	Hedge fund, Risk
"Hedge funds are also closely connected to their prime brokers, typically investment banks, which could contribute to their instability in a crisis, though this works both ways and failing counterparty banks can freeze hedge funds assets, as Lehman Brothers did in 2008. [252]
 An August 2012 survey by the Financial Services Authority concluded that risks were limited and had reduced as a result, inter alia, of larger margins being required by counterparty banks, but might change rapidly according to market conditions."	Hedge fund, Risk
In stressed market conditions, investors might suddenly withdraw large sums, resulting in forced asset sales. This might cause liquidity and pricing problems if it occurred across a number of funds or in one large highly leveraged fund.	other
"[253]
 Hedge funds are structured to avoid most direct regulation (although their managers may be regulated), and are not required to publicly disclose their investment activities, except to the extent that investors generally are subject to disclosure requirements. This is in contrast to a regulated mutual fund or exchange-traded fund, which will typically have to meet regulatory requirements for disclosure."	Hedge fund, Structure, Regulation
An investor in a hedge fund usually has direct access to the investment adviser of the fund, and may enjoy more personalized reporting than investors in retail investment funds. This may include detailed discussions of risks assumed and significant positions.	Hedge fund, Risk
"However, this high level of disclosure is not available to non-investors, contributing to hedge funds' reputation for secrecy, while some hedge funds have very limited transparency even to investors. [254]
 Funds may choose to report some information in the interest of recruiting additional investors."	Hedge fund
Much of the data available in consolidated databases is self-reported and unverified. [255] A study was done on two major databases containing hedge fund data.	Hedge fund
The study noted that 465 common funds had significant differences in reported information (e. g.	other
, returns, inception date, net assets value, incentive fee, management fee, investment styles, etc. ) and that 5% of return numbers and 5% of NAV numbers were dramatically different.	other
"[256] With these limitations, investors have to do their own research, which may cost on the scale of US$50,000 for a fund that is not well-established. [257]
 A lack of verification of financial documents by investors or by independent auditors has, in some cases, assisted in fraud."	other
[258] In the mid-2000s, Kirk Wright of International Management Associates was accused of mail fraud and other securities violations[259][260] which allegedly defrauded clients of close to US$180 million. [261] In December 2008, Bernard Madoff was arrested for running a US$50 billion Ponzi scheme[262] that closely resembled a hedge fund and was incorrectly[263] described as one.	Hedge fund
[264][265][266] Several feeder hedge funds, of which the largest was Fairfield Sentry, channeled money to it. Following the Madoff case, the SEC adopted reforms in December 2009 that subjected hedge funds to an audit requirement.	Hedge fund
"[267]
 The process of matching hedge funds to investors has traditionally been fairly opaque, with investments often driven by personal connections or recommendations of portfolio managers. [268] Many funds disclose their holdings, strategy, and historic performance relative to market indices, giving investors some idea of how their money is being allocated, although individual holdings are often not disclosed."	Hedge fund, Performance
[269] Investors are often drawn to hedge funds by the possibility of realizing significant returns, or hedging against volatility in the market. The complexity and fees associated with hedge funds are causing some to exit the market – CalPERS, the largest pension fund in the US, announced plans to completely divest from hedge funds in 2014.	Hedge fund
"[270] Some services are attempting to improve matching between hedge funds and investors: HedgeZ is designed to allow investors to easily search and sort through funds;[271] iMatchative aims to match investors to funds through algorithms that factor in an investor's goals and behavioral profile, in hopes of helping funds and investors understand the how their perceptions and motivations drive investment decisions. [272]
 In June 2006, prompted by a letter from Gary J."	Hedge fund
Aguirre, the U. S.	other
Senate Judiciary Committee began an investigation into the links between hedge funds and independent analysts. Aguirre was fired from his job with the SEC when, as lead investigator of insider trading allegations against Pequot Capital Management, he tried to interview John Mack, then being considered for chief executive officer at Morgan Stanley.	Hedge fund
[273] The Judiciary Committee and the US Senate Finance Committee issued a scathing report in 2007, which found that Aguirre had been illegally fired in reprisal[274] for his pursuit of Mack, and in 2009 the SEC was forced to re-open its case against Pequot. Pequot settled with the SEC for US$28 million, and Arthur J.	other
Samberg, chief investment officer of Pequot, was barred from working as an investment advisor. [275] Pequot closed its doors under the pressure of investigations.	other
"[276]
 The systemic practice of hedge funds submitting periodic electronic questionnaires to stock analysts as a part of market research was reported by The New York Times in July 2012. According to the report, one motivation for the questionnaires was to obtain subjective information not available to the public and possible early notice of trading recommendations that could produce short-term market movements."	Hedge fund
"[277]
 According to modern portfolio theory, rational investors will seek to hold portfolios that are mean/variance efficient (that is, portfolios that offer the highest level of return per unit of risk). One of the attractive features of hedge funds (in particular market neutral and similar funds) is that they sometimes have a modest correlation with traditional assets such as equities."	Hedge fund, Risk
"This means that hedge funds have a potentially quite valuable role in investment portfolios as diversifiers, reducing overall portfolio risk. [108]
 However, there are at least three reasons why one might not wish to allocate a high proportion of assets into hedge funds."	Hedge fund, Risk
"These reasons are:
 Several studies have suggested that hedge funds are sufficiently diversifying to merit inclusion in investor portfolios, but this is disputed for example by Mark Kritzman who performed a mean-variance optimization calculation on an opportunity set that consisted of a stock index fund, a bond index fund, and ten hypothetical hedge funds. [278][279] The optimizer found that a mean-variance efficient portfolio did not contain any allocation to hedge funds, largely because of the impact of performance fees."	Hedge fund, Performance
To demonstrate this, Kritzman repeated the optimization using an assumption that the hedge funds took no performance fees. The result from this second optimization was an allocation of 74% to hedge funds.	Hedge fund, Performance
Hedge funds tend to perform poorly during equity bear markets, just when an investor needs part of their portfolio to add value. [108] For example, in January–September 2008, the Credit Suisse/Tremont Hedge Fund Index returned -9.	Hedge fund
"87%. [280] According to the same index series, even ""dedicated short bias"" funds returned −6."	other
08% in September 2008, when Lehman Brothers collapsed.	other
